donor	receiver	compound	mass_rate	rate	frequency	community	medium
L_lactis	L_mesenteroides	M_arg__L_e	0.0004880679496452554	0.0027856440000003165	0.4	kefir	MILK
environment	L_lactis	M_ile__L_e	0.0004829325061149476	0.0036816624999996	0.83	kefir	MILK
environment	L_lactis	M_ura_e	0.0004606462544856106	0.004109735280449316	0.78	kefir	MILK
L_kefiranofaciens	environment	M_3mba_e	0.0004521241096335422	0.004471013728113793	0.45	kefir	MILK
L_lactis	L_kefiranofaciens	M_orn__L_e	0.00044752139706699635	0.0033605674999999742	0.15	kefir	MILK
L_kefiranofaciens	environment	M_2mpa_e	0.0004154683207404078	0.004770184940456064	0.21	kefir	MILK
environment	L_lactis	M_phe__L_e	0.0003825460563187502	0.0023158125000000006	1.0	kefir	MILK
environment	L_kefiranofaciens	M_glu__L_e	0.00037579702418687427	0.0025718207799486337	0.36	kefir	MILK
L_lactis	A_fabarum	M_ppap_e	0.0003747351022199915	0.002464674999999944	0.01	kefir	MILK
environment	L_kefiranofaciens	M_his__L_e	0.00036747496499	0.0023684500000000007	1.0	kefir	MILK
environment	L_mesenteroides	M_gua_e	0.00036096762759533954	0.0023885225999999956	1.0	kefir	MILK
environment	A_fabarum	M_gln__L_e	0.00034422984123356755	0.0023554138773550734	0.96	kefir	MILK
environment	L_mesenteroides	M_gly_e	0.0003439414835120001	0.004581830000000001	0.12	kefir	MILK
environment	L_mesenteroides	M_ura_e	0.0003414482887140001	0.0030462900000000014	1.0	kefir	MILK
L_kefiranofaciens	A_fabarum	M_ppap_e	0.0003310570987232796	0.002177399848484894	0.11	kefir	MILK
environment	L_kefiranofaciens	M_ura_e	0.0003272596250127636	0.00291970338124953	1.0	kefir	MILK
environment	A_fabarum	M_asn__L_e	0.0003215560953505854	0.0024338626750000417	1.0	kefir	MILK
environment	L_lactis	M_tyr__L_e	0.00031231392797000004	0.0017236999999999997	1.0	kefir	MILK
environment	L_mesenteroides	M_phe__L_e	0.0003060368450550001	0.0018526500000000013	1.0	kefir	MILK
environment	L_lactis	M_pro__L_e	0.0003035773682710782	0.0026368201562500006	0.16	kefir	MILK
environment	A_fabarum	M_asp__L_e	0.00029224328342046025	0.002212380405092265	0.36	kefir	MILK
environment	L_kefiranofaciens	M_trp__L_e	0.00029021861555250005	0.001421075	1.0	kefir	MILK
environment	L_mesenteroides	M_ade_e	0.00028015806972816386	0.0020733021999989926	1.0	kefir	MILK
environment	L_mesenteroides	M_pro__L_e	0.00025450084255500006	0.00221055	1.0	kefir	MILK
environment	L_mesenteroides	M_tyr__L_e	0.0002499163700918482	0.0013793199999991628	1.0	kefir	MILK
L_kefiranofaciens	L_mesenteroides	M_arg__L_e	0.0002325977786649596	0.0013275499999997693	0.02	kefir	MILK
environment	L_lactis	M_gua_e	0.00022730314655832045	0.001504064800000003	1.0	kefir	MILK
L_mesenteroides	L_kefiranofaciens	M_h2s_e	0.00020723000049128755	0.006080549766768608	1.0	kefir	MILK
environment	A_fabarum	M_ser__L_e	0.00020425880795056406	0.0019436134517044933	0.44	kefir	MILK
environment	L_lactis	M_his__L_e	0.000183737482495	0.0011842250000000003	1.0	kefir	MILK
environment	L_mesenteroides	M_orn_e	0.00017785014865670014	0.0013355281632632073	0.49	kefir	MILK
A_fabarum	L_kefiranofaciens	M_glu__L_e	0.0001651240922065416	0.0011300503843153385	0.05	kefir	MILK
environment	A_fabarum	M_leu__L_e	0.00014700954717178114	0.0011207353617970022	0.81	kefir	MILK
environment	L_mesenteroides	M_his__L_e	0.00014698998599600006	0.0009473799999999998	1.0	kefir	MILK
environment	L_lactis	M_trp__L_e	0.00014510930777625002	0.0007105375	1.0	kefir	MILK
L_lactis	A_fabarum	M_arg__L_e	0.00012956303368402315	0.0007394800000001323	0.78	kefir	MILK
L_kefiranofaciens	A_fabarum	M_arg__L_e	0.00012956303368399992	0.0007394799999999995	0.14	kefir	MILK
A_fabarum	environment	M_glyclt_e	0.00012872436671456354	0.0017153345697026052	0.41	kefir	MILK
environment	A_fabarum	M_lys__L_e	0.00012627887269725004	0.0008579025	1.0	kefir	MILK
A_fabarum	environment	M_glx_e	0.0001244612912848068	0.0017043071621622914	0.37	kefir	MILK
environment	A_fabarum	M_val__L_e	0.00012403393753701732	0.001058798793103449	0.29	kefir	MILK
L_kefiranofaciens	A_fabarum	M_anhgm_e	0.00011935965000000003	0.0002500000000000001	0.02	kefir	MILK
L_lactis	A_fabarum	M_anhgm_e	0.0001193596499997032	0.00024999999999937843	0.1	kefir	MILK
environment	A_fabarum	M_thr__L_e	0.00011933068707757781	0.0010017787878788052	0.99	kefir	MILK
environment	L_mesenteroides	M_glu__L_e	0.0001176389689677945	0.0008050791396705092	0.37	kefir	MILK
environment	L_mesenteroides	M_trp__L_e	0.00011608744622100003	0.0005684300000000001	1.0	kefir	MILK
L_lactis	L_kefiranofaciens	M_h2s_e	0.0001157234105990809	0.0033955602743797365	0.03	kefir	MILK
L_kefiranofaciens	A_fabarum	M_LalaDgluMdapDala_e	0.00011511442500000005	0.0002500000000000001	0.02	kefir	MILK
environment	A_fabarum	M_ala__L_e	0.00011436543747850001	0.0012836650000000002	0.01	kefir	MILK
L_mesenteroides	L_lactis	M_h2s_e	0.00010489950132669683	0.0030779647580660334	0.93	kefir	MILK
L_mesenteroides	L_lactis	M_nh4_e	0.00010101337874983475	0.005599938949337507	0.01	kefir	MILK
environment	A_fabarum	M_ile__L_e	9.527346549900003e-05	0.0007263225000000002	1.0	kefir	MILK
environment	A_fabarum	M_ura_e	9.285400777446013e-05	0.0008284131000000015	1.0	kefir	MILK
environment	A_fabarum	M_gua_e	9.16517293551667e-05	0.0006064594444444445	0.09	kefir	MILK
environment	A_fabarum	M_phe__L_e	7.677612316490453e-05	0.0004647782999981505	1.0	kefir	MILK
L_kefiranofaciens	A_fabarum	M_cys__L_e	7.461285129384981e-05	0.0006158314999999985	0.05	kefir	MILK
environment	A_fabarum	M_gly_e	6.815437063625079e-05	0.0009079211289771561	0.4	kefir	MILK
environment	A_fabarum	M_ade_e	6.680723703125946e-05	0.0004944051465201827	0.39	kefir	MILK
environment	L_mesenteroides	M_thymd_e	6.338137848000002e-05	0.00026166	1.0	kefir	MILK
environment	A_fabarum	M_tyr__L_e	6.256278783609244e-05	0.00034529192499999973	1.0	kefir	MILK
L_lactis	L_kefiranofaciens	M_nh4_e	6.059704267990194e-05	0.003359354411441319	0.23	kefir	MILK
L_mesenteroides	L_kefiranofaciens	M_nh4_e	5.3262038297205765e-05	0.0029527193969057924	0.23	kefir	MILK
environment	A_fabarum	M_his__L_e	3.6747496499000014e-05	0.00023684499999999996	1.0	kefir	MILK
environment	A_fabarum	M_trp__L_e	2.9021861555250006e-05	0.00014210750000000002	1.0	kefir	MILK
A_fabarum	environment	M_fald_e	2.574595191544378e-05	0.0008574581250002091	0.02	kefir	MILK
A_fabarum	L_kefiranofaciens	M_nh4_e	2.470640702000189e-05	0.0013696638275226534	0.23	kefir	MILK
L_kefiranofaciens	A_fabarum	M_ac_e	2.4288397110500006e-05	0.00041136166666666676	0.03	kefir	MILK
A_fabarum	L_lactis	M_nh4_e	2.2753440380665342e-05	0.0012613960506624982	0.01	kefir	MILK
environment	L_lactis	M_o2_e	2.1078350590913008e-05	0.0006587231580844597	0.79	kefir	MILK
L_mesenteroides	A_fabarum	M_h2s_e	2.061794004609456e-05	0.0006049723024722005	0.95	kefir	MILK
L_lactis	L_kefiranofaciens	M_ala__D_e	1.893224124993078e-05	0.00021249999999922302	0.1	kefir	MILK
L_lactis	A_fabarum	M_acald_e	1.1714165026366082e-05	0.00026591434351740383	0.04	kefir	MILK
L_lactis	A_fabarum	M_h2s_e	1.1582828663006286e-05	0.0003398637550470144	0.03	kefir	MILK
A_fabarum	L_mesenteroides	M_acald_e	9.042336559098818e-06	0.00020526319926039932	0.11	kefir	MILK
environment	L_kefiranofaciens	M_fol_e	7.34864555249984e-06	1.6724999999999634e-05	1.0	kefir	MILK
L_mesenteroides	L_lactis	M_coa_e	5.497208639995034e-06	7.199999999993497e-06	0.26	kefir	MILK
L_lactis	L_mesenteroides	M_coa_e	4.39776691244158e-06	5.76000000057836e-06	0.72	kefir	MILK
environment	L_kefiranofaciens	M_ribflv_e	4.218924735e-06	1.1149999999999997e-05	1.0	kefir	MILK
environment	L_lactis	M_fol_e	3.6743227762503797e-06	8.362500000000866e-06	1.0	kefir	MILK
