donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	L_kefiranofaciens	M_tyr__L_e	0.0006246278559400001	0.0034473999999999993	1.0	kefir	MILK
environment	A_fabarum	M_nac_e	0.000567748456259503	0.004649815000000025	0.07	kefir	MILK
environment	L_lactis	M_thr__L_e	0.0005514042456365499	0.004629027875	1.0	kefir	MILK
environment	L_mesenteroides	M_asn__L_e	0.00054389153895373	0.0041167228208333325	1.0	kefir	MILK
environment	A_fabarum	M_xan_e	0.0005265687974205843	0.003461747250000061	0.02	kefir	MILK
environment	L_mesenteroides	M_ser__L_e	0.0005103151034133417	0.0048558752964141215	0.91	kefir	MILK
L_kefiranofaciens	L_mesenteroides	M_arg__L_e	0.0005057042339995067	0.0028863029548229545	0.91	kefir	MILK
environment	L_mesenteroides	M_lys__L_e	0.0005051154907890001	0.00343161	1.0	kefir	MILK
L_lactis	A_fabarum	M_glyc_e	0.0004964643996799657	0.005390873402357015	1.0	kefir	MILK
environment	A_fabarum	M_ins_e	0.000493155340258586	0.0018385841629530737	0.99	kefir	MILK
L_lactis	environment	M_orn__L_e	0.0004923768421599999	0.0036974	0.02	kefir	MILK
L_lactis	L_kefiranofaciens	M_orn__L_e	0.00048159258547435897	0.0036164178999999923	0.25	kefir	MILK
environment	A_fabarum	M_asp__L_e	0.0004814658050285773	0.003644858832340312	0.53	kefir	MILK
environment	L_lactis	M_xan_e	0.0004764415510335631	0.0031322027380951043	0.21	kefir	MILK
L_kefiranofaciens	L_lactis	M_acald_e	0.00047578464227	0.010800425	0.01	kefir	MILK
environment	L_lactis	M_ile__L_e	0.0004747641868989567	0.0036193908695652164	0.69	kefir	MILK
environment	L_lactis	M_ura_e	0.00046347248667000024	0.004134950000000001	1.0	kefir	MILK
environment	L_kefiranofaciens	M_gua_e	0.00044016884296232045	0.002912597000000135	1.0	kefir	MILK
environment	L_kefiranofaciens	M_xan_e	0.00043405319951447395	0.002853534955229803	0.81	kefir	MILK
environment	L_lactis	M_gly_e	0.0004317335329400213	0.005751355239361704	0.94	kefir	MILK
A_fabarum	L_kefiranofaciens	M_glu__L_e	0.00042532175338640436	0.002910750360224775	0.01	kefir	MILK
L_lactis	environment	M_acac_e	0.0004199147714294467	0.004154260924999844	1.0	kefir	MILK
environment	A_fabarum	M_asn__L_e	0.000399174361653379	0.003021356440424129	1.0	kefir	MILK
environment	L_kefiranofaciens	M_his__L_e	0.00036747496499	0.0023684500000000007	1.0	kefir	MILK
L_lactis	environment	M_R_3hhxa_e	0.00034954148816230944	0.002665218099999843	1.0	kefir	MILK
environment	L_mesenteroides	M_ura_e	0.0003414482887140001	0.0030462900000000014	1.0	kefir	MILK
environment	L_mesenteroides	M_gly_e	0.0003351152588675156	0.004464251101258562	0.19	kefir	MILK
L_kefiranofaciens	A_fabarum	M_ppap_e	0.0003298824666501867	0.0021696741609589605	0.73	kefir	MILK
L_kefiranofaciens	environment	M_ppap_e	0.0003262385380035669	0.0021457076315788684	0.19	kefir	MILK
environment	L_mesenteroides	M_ade_e	0.00032197091460866407	0.0023827370250000123	1.0	kefir	MILK
environment	L_mesenteroides	M_gua_e	0.0003187648500541733	0.0021092668434343365	0.99	kefir	MILK
environment	L_lactis	M_pro__L_e	0.00031812605319375	0.0027631874999999996	1.0	kefir	MILK
environment	L_lactis	M_tyr__L_e	0.0003123139279700001	0.0017236999999999999	1.0	kefir	MILK
environment	L_mesenteroides	M_phe__L_e	0.0003060368450550001	0.0018526500000000006	1.0	kefir	MILK
environment	L_kefiranofaciens	M_trp__L_e	0.0002902186155525	0.001421075	1.0	kefir	MILK
L_kefiranofaciens	environment	M_3mba_e	0.00028385534524525243	0.002807019396551663	0.29	kefir	MILK
L_kefiranofaciens	environment	M_2mba_e	0.00027375494277165997	0.002707137445652143	0.23	kefir	MILK
environment	L_mesenteroides	M_pro__L_e	0.00025450084255500006	0.00221055	1.0	kefir	MILK
environment	L_mesenteroides	M_tyr__L_e	0.00024985114237599987	0.0013789600000000003	1.0	kefir	MILK
environment	L_mesenteroides	M_orn_e	0.0002462759793030011	0.0018493575000000085	0.08	kefir	MILK
L_lactis	environment	M_nh4_e	0.00024531784635104583	0.013599831821792844	0.89	kefir	MILK
L_mesenteroides	L_kefiranofaciens	M_h2s_e	0.00022825195986509095	0.006697376818181819	0.44	kefir	MILK
L_lactis	L_kefiranofaciens	M_h2s_e	0.00022821527414799994	0.006696300384615384	0.52	kefir	MILK
A_fabarum	L_kefiranofaciens	M_acald_e	0.00022266670761419424	0.0050545874371020465	0.14	kefir	MILK
environment	L_kefiranofaciens	M_ura_e	0.00022009421170475976	0.0019636085999999975	1.0	kefir	MILK
A_fabarum	L_lactis	M_arg__L_e	0.0002048709678520617	0.0011692994444444794	0.02	kefir	MILK
environment	A_fabarum	M_gln__L_e	0.00019024667883824016	0.0013017746103896096	0.77	kefir	MILK
environment	L_lactis	M_his__L_e	0.000183737482495	0.0011842250000000003	1.0	kefir	MILK
L_kefiranofaciens	environment	M_2mpa_e	0.0001782928968299979	0.0020470636363636124	0.22	kefir	MILK
environment	A_fabarum	M_ser__L_e	0.00017305873327079372	0.0016467308572635075	0.74	kefir	MILK
environment	A_fabarum	M_ala__L_e	0.00016909385173641733	0.0018979497999999694	0.25	kefir	MILK
A_fabarum	L_mesenteroides	M_arg__L_e	0.00015748967929688935	0.0008988711111111137	0.01	kefir	MILK
environment	L_mesenteroides	M_glu__L_e	0.00014775115395671912	0.0010111561921744246	0.69	kefir	MILK
environment	A_fabarum	M_leu__L_e	0.0001476535893223435	0.0011256452525252524	0.99	kefir	MILK
